time,open,high,low,close,volume
2021-01-15 13:10:00,834.88,835.265,834.305,835.175,45072
2021-01-15 13:09:00,834.87,835.7,834.2,834.89,68488
2021-01-15 13:08:00,833.81,835.24,832.1,834.86,132231
2021-01-15 13:07:00,834.53,834.5395,833.5,833.7985,32870
2021-01-15 13:06:00,834.3263,834.73,833.51,834.73,52934
2021-01-15 13:05:00,835.3599,835.3599,834.36,834.36,63123
2021-01-15 13:04:00,836.78,836.89,835.17,835.265,62763
2021-01-15 13:03:00,834.6,836.75,834.26,836.6581,83733
2021-01-15 13:02:00,835.07,835.14,833.0966,834.28,104555
2021-01-15 13:01:00,835.09,835.7683,834.3709,835.0028,72676
2021-01-15 13:00:00,833.56,835.22,833.32,835.065,96207
2021-01-15 12:59:00,835.14,835.2299,833.28,833.48,223382
2021-01-15 12:58:00,836.27,836.52,835.0,835.26,104063
2021-01-15 12:57:00,837.055,837.35,835.92,836.33,76394
2021-01-15 12:56:00,837.4088,837.445,836.99,837.1499,27078
2021-01-15 12:55:00,837.5,837.98,836.97,837.274,28264
2021-01-15 12:54:00,837.58,837.7517,836.6,837.4436,50878
2021-01-15 12:53:00,838.0,838.0,837.38,837.75,31824
2021-01-15 12:52:00,837.79,838.19,837.67,838.025,28867
2021-01-15 12:51:00,837.625,838.0885,837.3,837.7501,50498
2021-01-15 12:50:00,838.21,838.39,837.5071,837.5071,45712
2021-01-15 12:49:00,838.2707,838.38,837.95,838.2905,24054
2021-01-15 12:48:00,837.5692,838.35,837.34,838.3,42929
2021-01-15 12:47:00,838.3484,838.44,837.55,837.55,47770
2021-01-15 12:46:00,838.16,838.44,837.9,838.44,38554
2021-01-15 12:45:00,838.05,838.16,837.37,838.16,53731
2021-01-15 12:44:00,838.5001,838.6218,838.0,838.12,25299
2021-01-15 12:43:00,838.1258,838.72,837.825,838.625,42345
2021-01-15 12:42:00,838.255,838.9286,838.0147,838.1326,58214
2021-01-15 12:41:00,837.97,838.65,837.1,838.2564,69794
2021-01-15 12:40:00,838.35,838.46,837.52,838.12,53404
2021-01-15 12:39:00,838.215,838.8799,837.67,838.434,53264
2021-01-15 12:38:00,838.16,838.39,837.9,838.27,38750
2021-01-15 12:37:00,838.255,838.75,837.897,838.12,37725
2021-01-15 12:36:00,838.095,838.4,837.75,838.24,42701
2021-01-15 12:35:00,838.5266,838.7,837.9,838.12,55833
2021-01-15 12:34:00,839.0842,839.12,838.38,838.66,46800
2021-01-15 12:33:00,839.6101,839.98,839.04,839.0844,54349
2021-01-15 12:32:00,837.8925,839.82,837.17,839.8198,91641
2021-01-15 12:31:00,837.21,838.4899,836.89,837.815,87097
2021-01-15 12:30:00,838.73,838.84,837.0,837.21,110927
2021-01-15 12:29:00,838.8,839.2108,838.4,838.5652,26901
2021-01-15 12:28:00,839.2201,839.46,838.3,838.81,35978
2021-01-15 12:27:00,839.0028,839.54,838.92,839.471,21824
2021-01-15 12:26:00,839.68,839.7,838.82,838.88,22867
2021-01-15 12:25:00,839.725,839.725,838.63,839.6876,30089
2021-01-15 12:24:00,839.92,840.07,839.55,839.72,14679
2021-01-15 12:23:00,839.65,840.37,839.4301,839.91,46353
2021-01-15 12:22:00,839.4593,839.86,839.26,839.55,24971
2021-01-15 12:21:00,839.1743,839.75,839.16,839.415,29057
2021-01-15 12:20:00,839.2102,839.43,838.5,839.13,45913
2021-01-15 12:19:00,840.0,840.0,838.9845,839.0,32100
2021-01-15 12:18:00,840.0104,840.1724,839.63,840.05,27243
2021-01-15 12:17:00,839.92,840.53,839.83,839.8712,43034
2021-01-15 12:16:00,839.42,840.0,839.35,839.9,35764
2021-01-15 12:15:00,838.9835,839.9024,838.87,839.5,40908
2021-01-15 12:14:00,839.61,839.61,837.95,839.195,102513
2021-01-15 12:13:00,838.86,839.88,838.61,839.5201,43707
2021-01-15 12:12:00,839.72,839.9599,838.5,838.89,55866
2021-01-15 12:11:00,840.1899,840.285,839.166,839.99,30854
2021-01-15 12:10:00,839.665,840.225,839.11,840.07,55063
2021-01-15 12:09:00,840.4797,840.7777,839.2801,839.76,43210
2021-01-15 12:08:00,840.68,840.69,840.01,840.43,34984
2021-01-15 12:07:00,840.77,841.29,840.2,840.42,56606
2021-01-15 12:06:00,841.22,841.71,840.77,840.8733,62455
2021-01-15 12:05:00,840.4187,841.4344,840.3201,841.23,88734
2021-01-15 12:04:00,838.99,840.65,838.58,840.2169,47558
2021-01-15 12:03:00,839.4689,839.5,838.79,838.79,27089
2021-01-15 12:02:00,839.45,839.6,838.32,839.331,66007
2021-01-15 12:01:00,839.67,840.14,839.22,839.2605,23350
2021-01-15 12:00:00,839.5699,840.1448,839.0,839.695,30142
